EventID,TimeCreated,Image,CommandLine,ParentImage,ParentProcessId,User,ProcessId,DestinationIp,DestinationPort,TargetFilename
1,2024-01-15 09:00:00,C:\Program Files\Google\Chrome\Application\chrome.exe,chrome.exe --profile-directory=Default,C:\Windows\explorer.exe,5678,DOMAIN\user1,1234,,,
1,2024-01-15 09:05:00,C:\Program Files\Microsoft Office\root\Office16\WINWORD.EXE,WINWORD.EXE /n,C:\Windows\explorer.exe,5678,DOMAIN\user1,2345,,,
1,2024-01-15 09:10:00,C:\Program Files\Microsoft Office\root\Office16\EXCEL.EXE,EXCEL.EXE /e,C:\Windows\explorer.exe,5678,DOMAIN\user1,2346,,,
1,2024-01-15 09:15:00,C:\Program Files\Microsoft Office\root\Office16\OUTLOOK.EXE,OUTLOOK.EXE,C:\Windows\explorer.exe,5678,DOMAIN\user1,2347,,,
1,2024-01-15 09:20:00,C:\Windows\System32\notepad.exe,notepad.exe C:\Users\user1\Documents\notes.txt,C:\Windows\explorer.exe,5678,DOMAIN\user1,2348,,,
1,2024-01-15 09:25:00,C:\Program Files\Windows Defender\MsMpEng.exe,MsMpEng.exe,C:\Windows\System32\services.exe,512,SYSTEM,2349,,,
3,2024-01-15 09:10:00,C:\Program Files\Google\Chrome\Application\chrome.exe,,C:\Program Files\Google\Chrome\Application\chrome.exe,1234,DOMAIN\user1,1234,172.217.14.99,443,
3,2024-01-15 09:12:00,C:\Program Files\Google\Chrome\Application\chrome.exe,,C:\Program Files\Google\Chrome\Application\chrome.exe,1234,DOMAIN\user1,1234,13.107.42.14,443,
3,2024-01-15 09:14:00,C:\Program Files\Microsoft Office\root\Office16\OUTLOOK.EXE,,C:\Program Files\Microsoft Office\root\Office16\OUTLOOK.EXE,2347,DOMAIN\user1,2347,52.97.162.2,443,
3,2024-01-15 09:30:00,C:\Program Files\Google\Chrome\Application\chrome.exe,,C:\Program Files\Google\Chrome\Application\chrome.exe,1234,DOMAIN\user1,1234,142.250.72.110,443,
11,2024-01-15 09:15:00,C:\Program Files\Microsoft Office\root\Office16\WINWORD.EXE,,C:\Program Files\Microsoft Office\root\Office16\WINWORD.EXE,2345,DOMAIN\user1,2345,,,C:\Users\user1\Documents\report.docx
11,2024-01-15 09:35:00,C:\Program Files\Microsoft Office\root\Office16\EXCEL.EXE,,C:\Program Files\Microsoft Office\root\Office16\EXCEL.EXE,2346,DOMAIN\user1,2346,,,C:\Users\user1\Documents\budget.xlsx
11,2024-01-15 09:40:00,C:\Windows\System32\notepad.exe,,C:\Windows\System32\notepad.exe,2348,DOMAIN\user1,2348,,,C:\Users\user1\Documents\notes.txt
1,2024-01-15 09:45:00,C:\Windows\System32\svchost.exe,svchost.exe -k netsvcs -p,C:\Windows\System32\services.exe,512,SYSTEM,3456,,,
1,2024-01-15 09:50:00,C:\Program Files\Teams\current\Teams.exe,Teams.exe,C:\Windows\explorer.exe,5678,DOMAIN\user1,3567,,,
